observation_date,CPALTT01USM657N,CORESTICKM159SFRBATL,CPILFESL_PCH,PCEPI_PCH,CPIAUCSL_PCH
1948-01-01,,,,,7.7
1949-01-01,,,,,-1.0
1950-01-01,,,,,1.1
1951-01-01,,,,,7.9
1952-01-01,,,,,2.3
1953-01-01,,,,,0.8
1954-01-01,,,,,0.4
1955-01-01,,,,,-0.3
1956-01-01,,,,,1.5
1957-01-01,,,#N/A,,3.4
1958-01-01,,,2.3,,2.7
1959-01-01,,,2.0,#N/A,0.9
1960-01-01,0.11299630457089800,,1.5,1.6,1.5
1961-01-01,0.05602131389992510,,1.2,1.0,1.1
1962-01-01,0.11055983983912500,,1.3,1.2,1.2
1963-01-01,0.13616848584992600,,1.3,1.2,1.3
1964-01-01,0.08073215714931830,,1.5,1.4,1.3
1965-01-01,0.15907145191793200,,1.3,1.4,1.6
1966-01-01,0.28414405717764500,,2.5,2.5,3.0
1967-01-01,0.24989359959456900,#N/A,3.5,2.5,2.8
1968-01-01,0.38514708172335800,4.611747217,4.7,3.9,4.2
1969-01-01,0.50243604361914400,6.377656962,5.8,4.5,5.4
1970-01-01,0.45291973559115400,7.080052368,6.2,4.7,5.9
1971-01-01,0.26842950809388000,5.132944894,4.7,4.2,4.2
1972-01-01,0.27961110066217300,3.571219525,3.1,3.4,3.3
1973-01-01,0.69887449253456900,3.610367813,3.5,5.4,6.3
1974-01-01,0.97454315665523900,8.828659882,8.3,10.4,11.0
1975-01-01,0.56072165962322700,9.958238616,9.2,8.3,9.1
1976-01-01,0.39676993072414500,7.069285691,6.6,5.5,5.8
1977-01-01,0.54219648201708400,6.707589454,6.3,6.5,6.5
1978-01-01,0.72228652034512200,8.095768443,7.3,7.0,7.6
1979-01-01,1.04563783209457000,10.595650194,9.7,8.9,11.3
1980-01-01,0.98831857395936300,13.887196272,12.4,10.8,13.5
1981-01-01,0.71513814589092700,10.789840377,10.5,9.0,10.4
1982-01-01,0.31464477780061100,7.684126987,7.4,5.6,6.2
1983-01-01,0.31076520362633100,3.705690905,3.9,4.3,3.2
1984-01-01,0.32340761334530700,4.833565974,5.1,3.8,4.4
1985-01-01,0.31122206337665100,4.930157862,4.4,3.5,3.5
1986-01-01,0.09142508887944190,5.001338705,4.0,2.2,1.9
1987-01-01,0.36239072276628200,4.319637529,3.9,3.1,3.6
1988-01-01,0.36114225264329300,4.586414374,4.4,3.9,4.1
1989-01-01,0.37940110716742900,4.780703430,4.5,4.4,4.8
1990-01-01,0.49560838839072600,5.455351341,5.0,4.4,5.4
1991-01-01,0.25194172143316000,4.949347124,4.9,3.3,4.2
1992-01-01,0.23866988910098300,3.785416475,3.7,2.7,3.0
1993-01-01,0.22631764187508700,3.507526140,3.3,2.5,3.0
1994-01-01,0.22030212666543100,3.272151669,2.8,2.1,2.6
1995-01-01,0.20924278404293600,3.318259542,3.0,2.1,2.8
1996-01-01,0.27287778257365500,3.097514880,2.7,2.1,2.9
1997-01-01,0.14087580971530500,2.757137044,2.4,1.7,2.3
1998-01-01,0.13337707651648300,2.611365655,2.3,0.8,1.5
1999-01-01,0.22122369268734200,2.180331925,2.1,1.5,2.2
2000-01-01,0.27829568920435300,2.689386083,2.4,2.5,3.4
2001-01-01,0.12897506887387700,3.234150692,2.7,2.0,2.8
2002-01-01,0.19620164026796300,3.235956558,2.3,1.3,1.6
2003-01-01,0.15583279723944600,2.330012350,1.5,2.1,2.3
2004-01-01,0.26779573694027500,2.219594600,1.8,2.5,2.7
2005-01-01,0.28165867906626900,2.314240308,2.1,2.9,3.4
2006-01-01,0.21017382882959300,2.927103742,2.5,2.8,3.2
2007-01-01,0.33440851038206500,2.763032600,2.3,2.6,2.9
2008-01-01,0.01154409041059460,2.835870575,2.3,3.0,3.8
2009-01-01,0.22437102869946300,1.987208350,1.7,-0.3,-0.3
2010-01-01,0.12388757780876700,0.839635428,1.0,1.8,1.6
2011-01-01,0.24423044549867200,1.465280561,1.7,2.5,3.1
2012-01-01,0.14463654265303200,2.170778667,2.1,1.9,2.1
2013-01-01,0.12465611096668700,1.944966442,1.8,1.4,1.5
2014-01-01,0.06349796432054430,1.977288750,1.8,1.5,1.6
2015-01-01,0.06115335978777330,2.167317292,1.8,0.2,0.1
2016-01-01,0.17146918863481500,2.565157442,2.2,1.0,1.3
2017-01-01,0.17431579343422500,2.259383083,1.8,1.8,2.1
2018-01-01,0.15816607009286800,2.419242750,2.1,2.1,2.4
2019-01-01,0.18868179584761100,2.527133250,2.2,1.5,1.8
2020-01-01,0.11332111410450000,2.224296917,1.7,1.1,1.2
2021-01-01,0.56853821327231900,2.439664083,3.6,4.0,4.7
2022-01-01,#N/A,#N/A,#N/A,#N/A,#N/A
